Game,Console,Publisher,Developer,VGChartz Score,Critic Score,User Score,Total Shipped,Total Sales,NA Sales,PAL Sales,Japan Sales,Other Sales,Release Date,Last Update,Stripped Sales,,No errors,Number Conversion,Total
Tutankham,2600_b,Stern,Parker Bros,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Vanguard,2600_b,Atari,Atari,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Venture,2600_b,Coleco,Coleco,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Video Life,2600_b,"CommaVid, Inc.","CommaVid, Inc.",,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Wabbit,2600_b,Apollo,Apollo,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Warplock,2600_b,Data Age,Data Age,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Wizard of Wor,2600_b,CBS Electronics,CBS Electronics,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Word Zapper,2600_b,Vidtec,Vidtec,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Worm War I,2600_b,20th Century Fox Video Games,Sirius (Japan),,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
Zaxxon,2600_b,Coleco,Coleco,,,,,,,,,,1/1/1982,,#VALUE!,,0,0,
BurgerTime,2600_b,Mattel Interactive,Mattel,,,,,0.59m,0.55m,0.03m,,0.01m,1/1/1982,,0.59,,0.59,0.59,
Smurf: Rescue In Gargamel's Castle,2600_b,Coleco,Coleco,,,,,0.59m,0.55m,0.03m,,0.01m,1/1/1982,,0.59,,0.59,0.59,
Atlantis,Int_b,Imagic,Imagic,,,,,,,,,,1/1/1982,1/13/2018,#VALUE!,,0,0,
Beauty & the Beast,Int_b,Imagic,Imagic,,,,,,,,,,1/1/1982,1/13/2018,#VALUE!,,0,0,
Carnival,Int_b,Coleco,Coleco,,,,,,,,,,1/1/1982,1/13/2018,#VALUE!,,0,0,
Demon Attack,Int_b,Imagic,Imagic,,,,,,,,,,1/1/1982,1/13/2018,#VALUE!,,0,0,
Donkey Kong,Int_b,Coleco,Coleco,,,,,,,,,,1/1/1982,1/13/2018,#VALUE!,,0,0,
Dragonfire,Int_b,Imagic,Imagic,,,,,,,,,,1/1/1982,1/13/2018,#VALUE!,,0,0,
Microsurgeon,Int_b,Imagic,Imagic,,,,,,,,,,1/1/1982,1/13/2018,#VALUE!,,0,0,
Mouse Trap,Int_b,Coleco,Coleco,,,,,,,,,,1/1/1982,1/13/2018,#VALUE!,,0,0,
Pitfall!,Int_b,Activision,Activision,,,,,,,,,,1/1/1982,1/13/2018,#VALUE!,,0,0,
Royal Dealer,Int_b,Mattel Electronics,APh Technological Consulting,,,,,,,,,,1/1/1982,1/13/2018,#VALUE!,,0,0,
Stampede,Int_b,Activision,Activision,,,,,,,,,,1/1/1982,1/13/2018,#VALUE!,,0,0,
Swords & Serpents,Int_b,Imagic,Imagic,,,,,,,,,,1/1/1982,1/13/2018,#VALUE!,,0,0,
Raiders of the Lost Ark,2600_b,Atari,Atari,,,,,0.50m,0.46m,0.03m,,0.01m,1/1/1982,,0.50,,0.50,0.5,
Grand Prix,2600_b,Activision,Activision,,,,,0.48m,0.45m,0.03m,,0.00m,1/1/1982,,0.48,,0.48,0.48,
Phoenix,2600_b,Atari,Centuri,,,,,0.45m,0.42m,0.02m,,0.00m,1/1/1982,,0.45,,0.45,0.45,
Jawbreaker,2600_b,Tigervision,Tigervision,,,,,0.45m,0.42m,0.03m,,0.00m,1/1/1982,,0.45,,0.45,0.45,
Barnstorming,2600_b,Activision,Activision,,,,,0.43m,0.40m,0.02m,,0.00m,1/1/1982,,0.43,,0.43,0.43,
Mouse Trap,2600_b,Coleco,Coleco,,,,,0.40m,0.38m,0.02m,,0.00m,1/1/1982,,0.40,,0.40,0.4,
Airlock,2600_b,Data Age,Data Age,,,,,0.39m,0.36m,0.02m,,0.00m,1/1/1982,,0.39,,0.39,0.39,
Dragonfire,2600_b,Imagic,Imagic,,,,,0.37m,0.35m,0.02m,,0.00m,1/1/1982,,0.37,,0.37,0.37,
Frogs And Flies,2600_b,Mattel Interactive,Mattel,,,,,0.36m,0.33m,0.02m,,0.00m,1/1/1982,,0.36,,0.36,0.36,
Fantastic Voyage,2600_b,20th Century Fox Video Games,20th Century Fox Video Games,,,,,0.34m,0.32m,0.02m,,0.00m,1/1/1982,,0.34,,0.34,0.34,
Carnival,2600_b,Coleco,Coleco,,,,,0.34m,0.32m,0.02m,,0.00m,1/1/1982,,0.34,,0.34,0.34,
Fireball,2600_b,Unknown,Starpath Corp.,,,,,0.33m,0.30m,0.02m,,0.00m,1/1/1982,,0.33,,0.33,0.33,
Astroblast,2600_b,Mattel Interactive,Mattel,,,,,0.31m,0.29m,0.02m,,0.00m,1/1/1982,,0.31,,0.31,0.31,
Fast Food,2600_b,Unknown,Telesys,,,,,0.29m,0.27m,0.02m,,0.00m,1/1/1982,,0.29,,0.29,0.29,
RealSports Football,2600_b,Atari,Atari,,,,,0.26m,0.24m,0.01m,,0.00m,1/1/1982,,0.26,,0.26,0.26,
Evolution,All_b,Sydney Development Corporation,Distinctive Software,,,,0.25m,,,,,,1/1/1982,4/23/2022,#VALUE!,,0,0,
Front Line,2600_b,Taito,Coleco,,,,,0.24m,0.22m,0.01m,,0.00m,1/1/1982,,0.24,,0.24,0.24,
Dark Cavern,2600_b,Mattel Interactive,Mattel,,,,,0.24m,0.22m,0.01m,,0.00m,1/1/1982,,0.24,,0.24,0.24,
Deadly Duck,2600_b,20th Century Fox Video Games,20th Century Fox Video Games,,,,,0.22m,0.21m,0.01m,,0.00m,1/1/1982,,0.22,,0.22,0.22,
Reactor,2600_b,Parker Bros.,Parker Bros.,,,,,0.22m,0.21m,0.01m,,0.00m,1/1/1982,,0.22,,0.22,0.22,
Crazy Climber,2600_b,Atari,Atari,,,,,0.22m,0.21m,0.01m,,0.00m,1/1/1982,,0.22,,0.22,0.22,
RealSports Baseball,2600_b,Atari,Atari,,,,,0.21m,0.20m,0.01m,,0.00m,1/1/1982,,0.21,,0.21,0.21,
International Soccer,2600_b,Mattel Interactive,Mattel,,,,,0.19m,0.18m,0.01m,,0.00m,1/1/1982,,0.19,,0.19,0.19,
Armor Ambush,2600_b,Mattel Interactive,Mattel,,,,,0.17m,0.15m,0.01m,,0.00m,1/1/1982,,0.17,,0.17,0.17,
Deadline,PC_b,Infocom,"Infocom, Inc.",,,,0.14m,,,,,,1/1/1982,,#VALUE!,,0,0,
RealSports Volleyball,2600_b,Atari,Atari,,,,,0.13m,0.12m,0.01m,,0.00m,1/1/1982,,0.13,,0.13,0.13,
Ultima II: Revenge of the Enchantress,PC_b,Sierra Online,"Sierra On-Line, Inc.",,,,0.10m,,,,,,1/1/1982,,#VALUE!,,0,0,
Starcross,PC_b,Infocom,"Infocom, Inc.",,,,0.09m,,,,,,1/1/1982,,#VALUE!,,0,0,
